Scenario ID,Type,Scenario Name,Description,KPI ID,Impact Type,Impact Value,Plausibility,Severity,Recovery Qtrs,Mitigation Lever,Calibration Source,Applied_Severity_Mult
S09_v0.5_2,Shock,Mass data privacy breach,Customer data of 5M users leaked online,Reputation,delta,-1.5816,2,4,4,Data governance,GDPR analogue,0.5
S58_v1.5_1,Stress,Cedi devaluation -50% (extreme),"Cedi loses 50% in 6 months, hyperinflation",FIN03,delta,-8.8407,1,6,8,Contingency planning (enhanced),margin collapse,1.5
S19_v1.5_1,Upside,Cedi appreciation +30%,Cedi strengthens 30% on oil windfall,FIN03,delta,4.642,3,3,2,Shareholder returns,FY25 tailwind,1.5
S65_v1.5_2,Stress,Tariff cap -15% (mild),Data price cap at 0.65 GHS/GB,DataARPU,pct,-1.7242,4,2,2,Pricing agility (enhanced),revenue loss,1.5
S25_v1.5_2,Stress,NCA universal service levy increase,Levy raised from 1% to 2% of revenue,Opex,abs,672.1917,3,3,1,Compliance,industry levy rate,1.5
S32_v1.5_2,Combined,Regulatory storm (spectrum + e-levy + tariff cap),Three major regulatory hits simultaneously,SEG03,pct,-43.0884,2,5,6,Unified response,MoMo collapse,1.5
S68_v1.5_1,Stress,Subsea cable cut - minor 1 week,"Single fibre cut, 10% capacity loss",FIN01,pct,-0.7114,4,2,1,Redundancy planning (enhanced),limited impact,1.5
S84_v1.0_2,Stress,Removal of roaming surcharge,ECOWAS free roaming enforced,FIN01,pct,-0.3035,4,2,1,Regional negotiation,small erosion,1.0
S07_v1.5_2,Shock,Spectrum dispute - 4G degradation,"Regulator forces spectrum reallocation, 4G speeds drop",OPS07,delta,-3.9642,2,4,2,Litigation & lobbying (enhanced),coverage reduction,1.5
S07_v0.5_2,Shock,Spectrum dispute - 4G degradation,"Regulator forces spectrum reallocation, 4G speeds drop",OPS07,delta,-1.1643,2,4,2,Litigation & lobbying,coverage reduction,0.5
S04_v1.5_1,Stress,Sovereign debt freeze,"IMF programme stalls, donors cut aid",WorkingCapital,delta,22.1538,2,4,6,Repatriation planning,FY22 working capital impact,1.5
S62_v1.0_2,Stress,Ghana GDP growth 0% (stagnation),GDP growth 0% (stagnation),Subscribers,pct,-0.9232,3,3,2,Cost rationalisation,disposable income,1.0
S15_v0.5_2,Stress,Cedi devaluation -40% (severe),"Cedi plummets 40% in 3 months, BoG intervenes",FIN03,delta,-2.0185,2,5,4,Emergency tariff repricing (enhanced),USD cost pass-through,0.5
S29_v0.5_1,Shock,NCA partial licence revocation,NCA revokes MTN's data licence in 2 regions,FIN01,pct,-15.6212,1,5,8,Legal defence,extreme tail risk,0.5
S32_v1.5_1,Combined,Regulatory storm (spectrum + e-levy + tariff cap),Three major regulatory hits simultaneously,SEG03,pct,-42.7041,2,5,6,Unified response,MoMo collapse,1.5
S49_v1.5_1,Stress,Tower equipment supply chain disruption,Huawei sanctions delay tower equipment 6 months,CapexEfficiency,pct,-39.2652,3,3,2,Supplier diversification (enhanced),global chip shortage,1.5
S36_v1.5_1,Shock,Subsea cable cut - bandwidth crisis,"International fibre cut, 50% capacity loss for 3 weeks",EnterpriseRevenue,pct,-13.5029,2,3,1,Alternative routing,2024 WACS outage,1.5
S50_v1.0_1,Shock,CEO + CFO simultaneous departure,Both top executives resign unexpectedly,StrategyRisk,delta,1.0035,2,3,1,Succession planning,execution,1.0
S90_v0.5_1,Upside,ECG prepaid metering for sites,Better power management reduces diesel use,DieselCost,pct,-2.7621,4,2,2,Energy efficiency,ongoing saving,0.5
S06_v1.0_1,Shock,Major cyber breach - 5-day MoMo outage,Ransomware locks MoMo platform for 5 days,SEG03,pct,-10.4568,2,5,3,Cyber resilience,industry benchmark,1.0
S79_v0.5_1,Stress,Mobile termination rate cut,Regulator cuts MTR by 50%,FIN01,pct,-0.5878,4,3,2,Wholesale pricing,revenue loss,0.5
S03_v1.5_2,Stress,MoMo e-levy increase to 1.5%,Govt raises e-levy from 1% to 1.5%,FIN01,pct,-3.0627,3,4,2,Pricing strategy,indirect revenue loss,1.5
S89_v0.5_2,Upside,NCA quality of service bonus,"MTN meets QoS targets, gets fee rebate",FIN03,delta,0.1301,4,2,1,Network investment,rebate income,0.5
S46_v1.5_1,Stress,Starlink Ghana rural expansion,Starlink launches low‑cost rural satellite broadband,ARPU,delta,-0.8457,3,3,2,Satellite partnership,pricing pressure,1.5
S50_v1.5_2,Shock,CEO + CFO simultaneous departure,Both top executives resign unexpectedly,StrategyRisk,delta,1.3356,2,3,1,Succession planning,execution,1.5
S40_v1.0_2,Stress,Telecel aggressive bundle reset,Telecel launches low‑price voice+data bundle,DataShare,delta,-1.8965,4,3,2,Value proposition (enhanced),market share shift,1.0
S30_v1.0_1,Shock,SIM re-registration 2.0 - 6-month disruption,"Mandatory new SIM registration, 6‑month process",DataSubs,pct,-5.4811,3,4,6,Stakeholder engagement (enhanced),data impact,1.0
S01_v1.5_2,Stress,Cedi devaluation -25%,Cedi drops 25% vs USD over 2 quarters,FIN02,pct,-18.2835,3,4,3,Emergency tariff repricing (enhanced),FY22 analogue 0.32 elasticity,1.5
S17_v0.5_1,Stress,BoG emergency rate hike to 35%,MPC hikes policy rate to 35% in emergency meeting,WorkingCapital,delta,10.7409,2,4,2,Refinancing,interest cost,0.5
S87_v0.5_2,Upside,Currency swap agreement (China),Direct GHS/CNY settlement reduces USD exposure,FXCost,delta,-0.0849,4,3,2,Innovative hedging,lower cost,0.5
S38_v0.5_1,Shock,National grid + telecoms cyberattack,State‑sponsored attack on grid and telcos,SitesOffline,pct,8.9988,1,5,8,National security (enhanced),extreme scenario,0.5
S27_v1.5_2,Stress,Parliament social tariff floor,"Minimum data price floor removed, intense price war",FIN01,pct,-10.2214,3,4,2,Pricing strategy (enhanced),Kenya precedent,1.5
S65_v1.5_1,Stress,Tariff cap -15% (mild),Data price cap at 0.65 GHS/GB,FIN01,pct,-4.2355,4,2,2,Pricing agility (enhanced),partial cap,1.5
S59_v0.5_2,Stress,Inflation 15% (moderate),CPI rises to 15% on food prices,FIN01,pct,-1.2081,3,2,1,Cost control,revenue drag,0.5
S21_v1.5_1,Stress,Cocoa/commodity crash - fiscal squeeze,"Cocoa prices fall 40%, export revenues drop",GDP,delta,-3.0992,3,3,2,FX hedging,FY23 cocoa shock,1.5
S15_v1.5_1,Stress,Cedi devaluation -40% (severe),"Cedi plummets 40% in 3 months, BoG intervenes",FIN02,pct,-33.9087,2,5,4,Emergency tariff repricing (enhanced),EBITDA erosion,1.5
S10_v1.0_1,Shock,Competitive intensification (ARPU pressure),Price war cuts data tariffs 30% across market,OPS04,pct,-8.8884,3,4,2,Product differentiation,FY19 competition,1.0
S66_v1.0_2,Stress,Tariff floor removal only,"Price floor removed, moderate competition",FIN01,pct,-4.6584,3,3,2,Value stacking,Kenya analogue,1.0
S83_v1.5_1,Stress,Diesel tax rebate,Govt removes fuel tax for telcos,FIN03,delta,0.7075,4,2,1,Government relations,benefit,1.5
S56_v1.0_2,Combined,Perfect storm (macro+cyber+regulatory+climate),Worst‑case combined event,FIN01,pct,-19.8179,1,5,8,Comprehensive resilience,extreme tail,1.0
S75_v0.5_2,Stress,Minor cyber breach - limited data,Small leak of non‑sensitive data,Reputation,delta,-0.2482,4,2,1,Cyber hygiene (enhanced),low impact,0.5
S06_v1.5_2,Shock,Major cyber breach - 5-day MoMo outage,Ransomware locks MoMo platform for 5 days,Reputation,delta,-3.0991,2,5,3,Cyber resilience,qualitative,1.5
S39_v1.5_2,Stress,Network sharing collapse - Telecel dispute,"Telecel ends tower sharing, MTN must build own",Capex,abs,901.9358,3,3,3,Infrastructure investment,coverage gap,1.5
S47_v1.5_1,Stress,ECG load-shedding Stage 6 - 6 months,"Daily 8‑hour power cuts, diesel costs quadruple",FIN03,delta,-4.0255,3,4,4,Alternative power (enhanced),margin impact,1.5
S58_v0.5_2,Stress,Cedi devaluation -50% (extreme),"Cedi loses 50% in 6 months, hyperinflation",OPS04,pct,-15.2537,1,6,8,Contingency planning (enhanced),ARPU halved,0.5
S03_v0.5_2,Stress,MoMo e-levy increase to 1.5%,Govt raises e-levy from 1% to 1.5%,OPS01,pct,-7.7143,3,4,2,Pricing strategy (enhanced),user decline observed,0.5
S51_v0.5_2,Stress,Labour dispute - extended strike,Union strikes for 4 weeks over pay,CustomerService,delta,-0.2346,2,3,2,Employee relations (enhanced),NPS decline,0.5
S81_v1.5_2,Stress,Starlink urban expansion,Starlink offers competitive urban data bundles,DataARPU,pct,-4.4701,3,3,2,Satellite strategy,price pressure,1.5
S12_v0.5_1,Combined,Fintech disruption + regulatory pressure,Bank-led wallets capture MoMo share + e-levy hike,FIN02,pct,-2.8408,3,4,4,Fintech strategy,earnings impact,0.5
S38_v1.0_1,Shock,National grid + telecoms cyberattack,State‑sponsored attack on grid and telcos,SitesOffline,pct,20.5484,1,5,8,National security (enhanced),extreme scenario,1.0
S05_v1.5_1,Stress,ECG tariff +40%,Power utility raises tariffs 40%,Opex,pct,16.5736,3,3,1,Energy efficiency,FY23 tariff hike,1.5
S40_v1.0_1,Stress,Telecel aggressive bundle reset,Telecel launches low‑price voice+data bundle,DataShare,delta,-2.0095,4,3,2,Value proposition (enhanced),market share shift,1.0
S01_v1.5_1,Stress,Cedi devaluation -25%,Cedi drops 25% vs USD over 2 quarters,FIN03,delta,-2.7569,3,4,3,Emergency tariff repricing,FY22 analogue 0.32 elasticity,1.5
S65_v1.5_1,Stress,Tariff cap -15% (mild),Data price cap at 0.65 GHS/GB,DataARPU,pct,-2.057,4,2,2,Pricing agility,revenue loss,1.5
S31_v1.0_2,Stress,Data Protection Act fine - major enforcement,DPC fines MTN GHS 500m for data breach,ComplianceOpex,abs,223.2542,3,3,2,Data compliance (enhanced),remediation cost,1.0
S65_v0.5_2,Stress,Tariff cap -15% (mild),Data price cap at 0.65 GHS/GB,FIN01,pct,-1.3495,4,2,2,Pricing agility,partial cap,0.5
S41_v0.5_2,Shock,New MVNO entry - tech giant,Amazon or Google launches MVNO in Ghana,DataARPU,pct,-7.1558,2,4,3,Strategic partnership,international MVNO impact,0.5
S77_v1.5_1,Upside,FX hedging gain (unexpected),Cedi weakens but MTN had hedged,FIN03,delta,0.7437,4,2,1,Hedging strategy (enhanced),windfall,1.5
S13_v1.0_1,Combined,Network crisis + climate compound,Major outage + flooding + diesel shortage,FIN03,delta,-3.5069,2,5,6,Resilience investment,cost overrun,1.0
S59_v0.5_1,Stress,Inflation 15% (moderate),CPI rises to 15% on food prices,FIN03,delta,-0.7609,3,2,1,Cost control (enhanced),FY23 average,0.5
S25_v0.5_1,Stress,NCA universal service levy increase,Levy raised from 1% to 2% of revenue,FIN03,delta,-0.8248,3,3,1,Compliance,margin impact,0.5
S29_v0.5_2,Shock,NCA partial licence revocation,NCA revokes MTN's data licence in 2 regions,SubscriberExodus,pct,-10.1479,1,5,8,Legal defence,market loss,0.5
S62_v0.5_1,Stress,Ghana GDP growth 0% (stagnation),"No growth, high unemployment",FIN01,pct,-1.0557,3,3,2,Cost rationalisation (enhanced),macro drag,0.5
S06_v0.5_1,Shock,Major cyber breach - 5-day MoMo outage,Ransomware locks MoMo platform for 5 days,Reputation,delta,-1.1493,2,5,3,Cyber resilience,qualitative,0.5
S05_v1.5_2,Stress,ECG tariff +40%,Power utility raises tariffs 40%,FIN03,delta,-2.9227,3,3,1,Energy efficiency (enhanced),pass-through cost,1.5
S30_v0.5_1,Shock,SIM re-registration 2.0 - 6-month disruption,"Mandatory new SIM registration, 6‑month process",ActiveSubs,pct,-3.9762,3,4,6,Stakeholder engagement,Nigeria SIM registration,0.5
S11_v1.5_1,Combined,Ghana macro reversal,"IMF suspension, cedi collapse, inflation spike",FIN01,pct,-16.8062,3,5,6,Diversification (enhanced),compound FY22-FY23,1.5
S59_v1.0_1,Stress,Inflation 15% (moderate),CPI rises to 15% on food prices,FIN01,pct,-2.1205,3,2,1,Cost control,revenue drag,1.0
S17_v1.5_1,Stress,BoG emergency rate hike to 35%,MPC hikes policy rate to 35% in emergency meeting,WorkingCapital,delta,28.4385,2,4,2,Refinancing,interest cost,1.5
S62_v1.0_1,Stress,Ghana GDP growth 0% (stagnation),"No growth, high unemployment",FIN01,pct,-1.8173,3,3,2,Cost rationalisation,macro drag,1.0
S22_v1.5_2,Stress,Oil price spike - pass-through inflation,"Crude oil +50%, diesel +80%",DieselCost,pct,59.3962,3,3,1,Energy transition (enhanced),FY22 fuel price,1.5
S73_v1.5_2,Stress,Localised flood - 50 sites down,Regional flooding affects 50 towers,FIN01,pct,-0.4565,4,2,1,Local resilience (enhanced),short outage,1.5
S67_v1.5_1,Upside,5G auction win - MTN leads,MTN wins 5G spectrum cheaply,DataARPU,pct,2.2704,4,3,3,5G leadership,premium pricing,1.5
S11_v0.5_1,Combined,Ghana macro reversal,"IMF suspension, cedi collapse, inflation spike",FIN01,pct,-5.7171,3,5,6,Diversification,compound FY22-FY23,0.5
S76_v1.0_2,Stress,Shareholder dividend pressure,Activist investors demand higher payout,Dividend,delta,0.5735,3,3,2,Capital allocation,no direct KPI,1.0
S16_v1.5_1,Stress,Hyperinflation return - 50%+,"Inflation exceeds 50%, currency crisis deepens",OPS01,pct,-5.6896,2,5,6,Cost pass-through,reduced affordability,1.5
S10_v0.5_1,Shock,Competitive intensification (ARPU pressure),Price war cuts data tariffs 30% across market,OPS01,pct,-1.4086,3,4,2,Product differentiation,subscriber churn,0.5
S18_v1.0_2,Stress,Ghana sovereign downgrade to junk,"Moody's cuts Ghana to Caa1, foreign debt frozen",FXRepatriation,delta,1.0456,2,4,6,Onshore reinvestment,FY22 freeze,1.0
S28_v1.5_2,Stress,BoG MoMo interoperability mandate,Compulsory low‑cost interoperability with banks,SEG03,pct,-20.7389,4,4,2,Fintech platform,Tanzania analogue,1.5
S05_v0.5_1,Stress,ECG tariff +40%,Power utility raises tariffs 40%,FIN03,delta,-0.8759,3,3,1,Energy efficiency,pass-through cost,0.5
S88_v0.5_1,Stress,MTN Group cross‑guarantee,"Parent guarantees Ghana debt, improves credit",CreditSpread,delta,-45.2255,4,2,2,Group treasury,debt cost down,0.5
S19_v1.0_2,Upside,Cedi appreciation +30%,Cedi strengthens 30% on oil windfall,USDOpex,pct,-13.7903,3,3,2,Shareholder returns,cost relief,1.0
S56_v1.5_2,Combined,Perfect storm (macro+cyber+regulatory+climate),Worst‑case combined event,FIN03,delta,-11.1506,1,5,8,Comprehensive resilience,severe margin,1.5
S59_v0.5_1,Stress,Inflation 15% (moderate),CPI rises to 15% on food prices,FIN01,pct,-1.0193,3,2,1,Cost control,revenue drag,0.5
S43_v1.5_1,Stress,Price war - all operators cut data 40%,"Industry‑wide data price war, 40% cuts",FIN03,delta,-5.8326,3,4,2,Cost leadership,EBITDA margin,1.5
S02_v1.0_2,Stress,Inflation resurgence to 25%,CPI hits 25% due to fiscal slippage,Opex,delta,17.7327,3,3,2,Cost optimisation,operating leverage,1.0
S02_v0.5_1,Stress,Inflation resurgence to 25%,CPI hits 25% due to fiscal slippage,FIN01,pct,-2.0519,3,3,2,Cost optimisation,FY22 inflation impact,0.5
S55_v1.0_2,Upside,Cedi appreciation +40%,Cedi appreciates 40% on structural reforms,FIN03,delta,3.8921,2,4,3,Currency management,FY25 magnitude,1.0
S08_v1.5_1,Shock,Major flood - 300+ sites down,Heavy rains damage 300 cell sites across south,OPS01,pct,-1.4434,2,3,2,Disaster recovery,subscriber disruption,1.5
S03_v0.5_1,Stress,MoMo e-levy increase to 1.5%,Govt raises e-levy from 1% to 1.5%,FIN01,pct,-1.0078,3,4,2,Pricing strategy (enhanced),indirect revenue loss,0.5
S15_v0.5_2,Stress,Cedi devaluation -40% (severe),"Cedi plummets 40% in 3 months, BoG intervenes",Capex,pct,-13.4551,2,5,4,Emergency tariff repricing,investment pause,0.5
S56_v1.0_1,Combined,Perfect storm (macro+cyber+regulatory+climate),Worst‑case combined event,FIN03,delta,-8.7658,1,5,8,Comprehensive resilience,severe margin,1.0
S36_v0.5_1,Shock,Subsea cable cut - bandwidth crisis,"International fibre cut, 50% capacity loss for 3 weeks",EnterpriseRevenue,pct,-4.0426,2,3,1,Alternative routing,2024 WACS outage,0.5
S17_v1.0_1,Stress,BoG emergency rate hike to 35%,MPC hikes policy rate to 35% in emergency meeting,WorkingCapital,delta,17.7623,2,4,2,Refinancing,interest cost,1.0
S27_v0.5_2,Stress,Parliament social tariff floor,"Minimum data price floor removed, intense price war",FIN01,pct,-3.2518,3,4,2,Pricing strategy,Kenya precedent,0.5
S01_v1.0_2,Stress,Cedi devaluation -25%,Cedi drops 25% vs USD over 2 quarters,FIN01,pct,-7.8502,3,4,3,Emergency tariff repricing (enhanced),FY22 analogue 0.32 elasticity,1.0
S38_v1.0_2,Shock,National grid + telecoms cyberattack,State‑sponsored attack on grid and telcos,FIN01,pct,-17.1611,1,5,8,National security,revenue collapse,1.0
S47_v1.0_1,Stress,ECG load-shedding Stage 6 - 6 months,"Daily 8‑hour power cuts, diesel costs quadruple",DieselOpex,abs,905.089,3,4,4,Alternative power,2024 load-shedding,1.0
S40_v0.5_1,Stress,Telecel aggressive bundle reset,Telecel launches low‑price voice+data bundle,CAC,pct,11.0539,4,3,2,Value proposition,customer acquisition,0.5
S90_v1.5_1,Upside,ECG prepaid metering for sites,Better power management reduces diesel use,DieselCost,pct,-6.7594,4,2,2,Energy efficiency (enhanced),ongoing saving,1.5
